prompt,intent
"Strategy volatility.","strategy"
"Strategy risk assessment.","strategy"
"Show all strategies.","strategy"
"List available strategies.","strategy"
"Current strategies.","strategy"
"Active strategies.","strategy"
"Strategy breakdown.","strategy"
"How are strategies ranked?","strategy"
"Rate the strategies.","strategy"
"Show recommendation quality.","recommendation"
"How accurate are the strategy recommendations?","recommendation"
"Which strategies are making good or bad calls?","recommendation"
"Analyse recommendation accuracy.","recommendation"
"Show signal quality metrics.","recommendation"
"Are the strategies recommending correctly?","recommendation"
"What is the quality of strategy recommendations?","recommendation"
"Show me missed trading opportunities.","recommendation"
"How many times did a strategy say HOLD when the price went up?","recommendation"
"Evaluate the correctness of all recommendations.","recommendation"
"What percentage of HOLDs were correct?","recommendation"
"Show strategy recommendation accuracy report.","recommendation"
"Grade each strategy.","strategy"
